IfcGUID,BLOCK_RFID,BLOCK_BUILDING,BLOCK_SCHEDULE,BLOCK_COLOR,BLOCK_LAYER,BLOCK_LENGTH,BLOCK_WIDTH
2tQH9P2Ob72uMNUR3T$rT5,010100000000000000001871,A,158,Green,8,2,2
2tQH9P2Ob72uMNUR3T$rT6,010100000000000000002183,A,159,Green,8,2,2
2tQH9P2Ob72uMNUR3T$rT7,030100000000000000008893,A,157,Red,8,2,2
2tQH9P2Ob72uMNUR3T$rT0,030100000000000000000157,A,156,Red,8,2,2
2tQH9P2Ob72uMNUR3T$rT1,020100000000000000004675,A,154,Blue,8,2,2
2tQH9P2Ob72uMNUR3T$rT2,040100000000000000002751,A,155,Gray,8,2,2
2tQH9P2Ob72uMNUR3T$rT3,010100000000000000007295,A,152,Green,8,2,2
2tQH9P2Ob72uMNUR3T$rTC,010100000000000000008249,A,153,Green,8,2,2
2tQH9P2Ob72uMNUR3T$rTD,030100000000000000000990,A,150,Red,8,2,2
2tQH9P2Ob72uMNUR3T$rTE,030100000000000000003582,A,151,Red,8,2,2
2tQH9P2Ob72uMNUR3T$rTF,050100000000000000004013,A,148,Yellow,8,2,2
2tQH9P2Ob72uMNUR3T$rT8,010100000000000000005918,A,149,Green,8,2,2
2tQH9P2Ob72uMNUR3T$rT9,050100000000000000000609,A,169,Yellow,9,2,2
2tQH9P2Ob72uMNUR3T$rTA,040100000000000000003039,A,168,Gray,9,2,2
2tQH9P2Ob72uMNUR3T$rTB,050100000000000000007392,A,167,Yellow,9,2,2
2tQH9P2Ob72uMNUR3T$rTK,040100000000000000007485,A,166,Gray,9,2,2
2tQH9P2Ob72uMNUR3T$rTL,030100000000000000005627,A,165,Red,9,2,2
2tQH9P2Ob72uMNUR3T$sqs,050100000000000000007792,B,6,White,1,2,4
2tQH9P2Ob72uMNUR3T$svx,040200000000000000003673,B,4,Gray,1,2,4
2tQH9P2Ob72uMNUR3T$s$t,010200000000000000002138,B,3,Green,1,2,4
2tQH9P2Ob72uMNUR3T$s_R,030200000000000000004627,B,2,Red,1,2,4
2tQH9P2Ob72uMNUR3T$s_r,050200000000000000006820,B,5,Yellow,1,2,4
2tQH9P2Ob72uMNUR3T$syb,030200000000000000001755,B,7,Red,1,2,4
2tQH9P2Ob72uMNUR3T$syt,050200000000000000003810,B,9,Yellow,1,2,4
2tQH9P2Ob72uMNUR3T$sWL,050200000000000000007333,B,10,Yellow,1,2,4
2tQH9P2Ob72uMNUR3T$sWb,010200000000000000006213,B,11,Green,1,2,4
2tQH9P2Ob72uMNUR3T$sWr,050200000000000000003647,B,8,Yellow,1,2,4
2tQH9P2Ob72uMNUR3T$sdZ,030200000000000000007631,B,44,Red,3,2,4
2tQH9P2Ob72uMNUR3T$sdi,020200000000000000007103,B,43,Blue,3,2,4
2tQH9P2Ob72uMNUR3T$sdj,050200000000000000002276,B,42,Yellow,3,2,4
2tQH9P2Ob72uMNUR3T$sdk,010200000000000000004455,B,45,Green,3,2,4
2tQH9P2Ob72uMNUR3T$sdl,020200000000000000004785,B,46,Blue,3,2,4
2tQH9P2Ob72uMNUR3T$sde,020200000000000000003953,B,48,Blue,3,2,4
2tQH9P2Ob72uMNUR3T$sdf,030200000000000000003563,B,49,Red,3,2,4
2tQH9P2Ob72uMNUR3T$sdg,020200000000000000001119,B,50,Blue,3,2,4
2tQH9P2Ob72uMNUR3T$sdh,050200000000000000002732,B,47,Yellow,3,2,4
2tQH9P2Ob72uMNUR3T$sdr,050200000000000000001331,B,82,Yellow,5,2,4
2tQH9P2Ob72uMNUR3T$sds,040200000000000000007468,B,81,Gray,5,2,4
2tQH9P2Ob72uMNUR3T$sdt,050200000000000000006723,B,80,Yellow,5,2,4
2tQH9P2Ob72uMNUR3T$sdm,050200000000000000003587,B,83,Yellow,5,2,4
2tQH9P2Ob72uMNUR3T$sdn,030200000000000000004210,B,85,Red,5,2,4
2tQH9P2Ob72uMNUR3T$sdo,010200000000000000001896,B,87,Green,5,2,4
2tQH9P2Ob72uMNUR3T$sdp,030200000000000000009468,B,88,Red,5,2,4
2tQH9P2Ob72uMNUR3T$sdy,040200000000000000009305,B,89,Gray,5,2,4
2tQH9P2Ob72uMNUR3T$sdz,050200000000000000009214,B,86,Yellow,5,2,4
2tQH9P2Ob72uMNUR3T$sbR,020200000000000000003055,B,30,Blue,2,2,4
2tQH9P2Ob72uMNUR3T$sba,040200000000000000006754,B,31,Gray,2,2,4
2tQH9P2Ob72uMNUR3T$sad,010100000000000000003235,B,27,Green,2,2,2
2tQH9P2Ob72uMNUR3T$sgP,010200000000000000009338,B,29,Green,2,2,4
2tQH9P2Ob72uMNUR3T$sgm,010200000000000000003526,B,26,Green,2,2,4
2tQH9P2Ob72uMNUR3T$sgn,050200000000000000000574,B,28,Yellow,2,2,4
2tQH9P2Ob72uMNUR3T$sf0,010200000000000000003194,B,24,Green,2,2,4
2tQH9P2Ob72uMNUR3T$sf1,020200000000000000006075,B,23,Blue,2,2,4
2tQH9P2Ob72uMNUR3T$sf2,050200000000000000003647,B,22,Yellow,2,2,4
2tQH9P2Ob72uMNUR3T$sfR,040100000000000000004239,B,25,Gray,2,2,2
2tQH9P2Ob72uMNUR3T$sfz,040200000000000000006381,B,68,Gray,4,2,4
2tQH9P2Ob72uMNUR3T$sf_,010200000000000000000355,B,69,Green,4,2,4
2tQH9P2Ob72uMNUR3T$sf$,030200000000000000008152,B,65,Red,4,2,4
